conflict_country,iso3c,med_loc_x,med_loc_y,latitude_con,longitude_con,dist_mediation_conflict,mediation_count,agreements_sum,fatalities_best
Afghanistan,AFG,-81.25,42.984,33.81875643,65.9259998,10858419.38,2,0,47
Afghanistan,AFG,-73.925,40.694,33.81875643,65.9259998,10776965.11,7,0,30
Afghanistan,AFG,2.352,48.857,33.81875643,65.9259998,5400849.558,1,0,21
Afghanistan,AFG,4.352,50.847,33.81875643,65.9259998,5238088.994,2,0,0
Afghanistan,AFG,6.167,49.75,33.81875643,65.9259998,5116387.829,1,0,49
Afghanistan,AFG,10.739,59.913,33.81875643,65.9259998,4897922.717,1,0,0
Afghanistan,AFG,12.483,41.893,33.81875643,65.9259998,4705297.742,1,0,49
Afghanistan,AFG,16.372,48.208,33.81875643,65.9259998,4371809.077,3,0,61
Afghanistan,AFG,28.955,41.014,33.81875643,65.9259998,3338832.52,1,0,0
Afghanistan,AFG,37.617,55.756,33.81875643,65.9259998,3266717.512,3,0,30
Afghanistan,AFG,49.109,55.796,33.81875643,65.9259998,2767072.272,1,0,5
Afghanistan,AFG,51.389,35.689,33.81875643,65.9259998,1344478.19,1,0,0
Afghanistan,AFG,51.533,25.287,33.81875643,65.9259998,1683766.451,14,0,83
Afghanistan,AFG,65.716,31.62,33.81875643,65.9259998,245553.1496,2,0,16
Afghanistan,AFG,66.976,39.655,33.81875643,65.9259998,656390.0831,1,0,52
Afghanistan,AFG,68.78,38.537,33.81875643,65.9259998,584408.5733,1,0,21
Afghanistan,AFG,69.178,34.525,33.81875643,65.9259998,309641.8779,9,0,21
Afghanistan,AFG,69.28,41.311,33.81875643,65.9259998,884784.1523,2,0,0
Afghanistan,AFG,71.568,34.014,33.81875643,65.9259998,521588.0006,1,0,0
Afghanistan,AFG,75.148,33.735,33.81875643,65.9259998,853074.9754,5,0,25
Afghanistan,AFG,77.209,28.614,33.81875643,65.9259998,1219366.439,1,0,0
Israel,ISR,-97,38,31.43297864,34.9911382,10842280.49,4,0,33
Israel,ISR,-83.829,34.29,31.43297864,34.9911382,10312422.21,1,0,9
Israel,ISR,-83.102,42.383,31.43297864,34.9911382,9669424.809,1,0,0
Israel,ISR,-81.25,42.984,31.43297864,34.9911382,9510706.52,9,0,9944
Israel,ISR,-77.016,38.905,31.43297864,34.9911382,9516230.263,21,0,9953
Israel,ISR,-75.695,45.425,31.43297864,34.9911382,8994235.308,2,0,7097
Israel,ISR,-74.268,4.734,31.43297864,34.9911382,11547767.87,6,0,0
Israel,ISR,-73.925,40.694,31.43297864,34.9911382,9185300.754,163,7,23423
Israel,ISR,-64.683,10.14,31.43297864,34.9911382,10333529.19,1,0,6211
Israel,ISR,-8.009,31.63,31.43297864,34.9911382,4052815.119,1,0,7097
Israel,ISR,-8,53,31.43297864,34.9911382,4187670.756,1,0,7097
Israel,ISR,-6.842,34.021,31.43297864,34.9911382,3901123.555,1,0,0
Israel,ISR,-6.26,53.35,31.43297864,34.9911382,4090242.3,4,0,0
Israel,ISR,-4,40,31.43297864,34.9911382,3619653.999,1,0,6211
Israel,ISR,2.352,48.857,31.43297864,34.9911382,3346754.875,10,0,13308
Israel,ISR,3,28,31.43297864,34.9911382,3105476.248,1,0,0
Israel,ISR,3.059,36.754,31.43297864,34.9911382,2988253.367,1,0,0
Israel,ISR,4.31,52.08,31.43297864,34.9911382,3385939.148,1,0,0
